"Index","Close","High","Low"
1/3/2019 20:45,1921524.6,1957729.338438,2051067.455463
1/3/2019 21:00,1901320.872,1906882.999816,2029761.438569
1/3/2019 21:15,1888320.104,1593171.946428,2022232.124104
1/3/2019 21:30,1856168.399,1523028.739189,1988638.257366
1/3/2019 21:45,1842880.377,1504487.933189,1969478.356867
1/3/2019 22:00,1798338.401,1463765.25294,1928931.754371
1/3/2019 22:15,1833422.363,1446680.718239,1969989.02754
1/3/2019 22:30,1838897.482,1441039.808443,1974593.262042
1/3/2019 22:45,1842019.276,1444059.557199,1978223.567349
1/3/2019 23:00,1812973.943,1425386.617945,1940725.783989
1/3/2019 23:15,1831074.808,1402167.467697,1958269.304955
1/3/2019 23:30,1808345.076,1386459.20395,1942584.066293
1/3/2019 23:45,1772416.459,1383404.105184,1919714.021289
1/4/2019 0:00,1753259.17,1368390.16905,1908985.454125
1/4/2019 0:15,1751680.968,1359964.534418,1958675.943181
1/4/2019 0:30,1749172.787,1349426.401667,1960073.877135
1/4/2019 0:45,1728324.924,1319220.60394,1937511.801304
1/4/2019 1:00,1688314.949,1282538.687662,1904416.267278
1/4/2019 1:15,1714210.023,1317142.526677,2022876.523679
1/4/2019 1:30,1706463.823,1276486.533677,1990464.450648
1/4/2019 1:45,1700873.743,1270375.387955,1986776.831004
1/4/2019 2:00,1680226.753,1256988.680692,1986138.384461
1/4/2019 2:15,1705357.172,1300329.403438,2122307.778656
1/4/2019 2:30,1681744.861,1272360.352692,2103296.314707
1/4/2019 2:45,1671916.978,1260639.017935,2092871.374278
1/4/2019 3:00,1638570.437,1234160.713323,2067939.967381
1/4/2019 3:15,1675043.957,1269313.812418,2157820.410476
1/4/2019 3:30,1657486.796,1251879.348189,2148053.300352
1/4/2019 3:45,1630958.693,1234700.00694,2131319.880015
1/4/2019 4:00,1605097.032,1221706.374473,2113800.420399
1/4/2019 4:15,1620730.548,1273994.253692,2043347.132195
1/4/2019 4:30,1609689.361,1276146.614692,2025953.461399
1/4/2019 4:45,1590109.773,1271920.03493,2017360.740916
1/4/2019 5:00,1605678.806,1285636.936443,2026466.169162
1/4/2019 5:15,1639548.963,1274162.385687,1980275.42055
1/4/2019 5:30,1660621.996,1289782.007428,1989640.525512
1/4/2019 5:45,1677052.494,1300768.384677,2005313.28519
1/4/2019 6:00,1696675.476,1330636.067692,2013978.190955
1/4/2019 6:15,1739466.867,1461433.454706,1926883.40379
1/4/2019 6:30,1762467.154,1493314.661701,1929358.754117
1/4/2019 6:45,1793854.435,1513507.686433,1963136.888051
1/4/2019 7:00,1821687.253,1558568.535428,1990575.98773
1/4/2019 7:15,1832591.85,1716955.269955,1966353.822065
1/4/2019 7:30,1875647.191,1853367.101677,2010474.191817
1/4/2019 7:45,1896029.892,1837098.019677,2019050.353777
1/4/2019 8:00,1941958.236,1851713.011438,2062140.436811
1/4/2019 8:15,1957777.148,2121431.050428,2079715.820247
1/4/2019 8:30,1962197.106,2184944.186687,2085808.381224
1/4/2019 8:45,1994944.902,2238533.012438,2120072.888614
1/4/2019 9:00,2000627.766,2297344.075667,2125546.31858
1/4/2019 9:15,2008610.299,2502468.728194,2136107.448218
1/4/2019 9:30,2024211.614,2543222.268438,2152100.87881
1/4/2019 9:45,2034371.673,2551949.007438,2159662.617794
1/4/2019 10:00,2038930.455,2552455.65795,2165519.798259
1/4/2019 10:15,2039936.541,2496693.805438,2163426.729567
1/4/2019 10:30,2041329.46,2501653.981184,2162565.024551
1/4/2019 10:45,2030881.617,2494062.318189,2149949.561233
1/4/2019 11:00,2017615.275,2489559.67195,2138948.0754
1/4/2019 11:15,1971496.974,2447291.068204,2084057.995943
1/4/2019 11:30,1981749.586,2436461.09094,2094575.476478
1/4/2019 11:45,2001776.029,2431893.069711,2115811.67519
1/4/2019 12:00,1995141.752,2414198.295766,2110345.873078
1/4/2019 12:15,1995804.118,2235281.444706,2101318.723949
1/4/2019 12:30,2005530.701,2224350.58993,2110000.462753
1/4/2019 12:45,1988046.312,2244787.369428,2089644.635491
1/4/2019 13:00,1963284.095,2184078.621736,2064798.375362
1/4/2019 13:15,1973296.254,1951881.355458,2076934.568414
1/4/2019 13:30,1966600.57,1919598.769189,2068654.637917
1/4/2019 13:45,1948199.187,1901363.911458,2052633.100602
1/4/2019 14:00,1941147.359,1876565.172701,2044684.562033
1/4/2019 14:15,1926943.37,1727408.835448,2032762.678963
1/4/2019 14:30,1909104.876,1703618.936433,2017606.174491
1/4/2019 14:45,1890945.391,1693682.626935,2000126.74995
1/4/2019 15:00,1893728.461,1690769.560751,2001796.660122
1/4/2019 15:15,1897432.147,1697108.840328,2012991.901001
1/4/2019 15:30,1896190.859,1690252.504771,2008071.741899
1/4/2019 15:45,1906624.548,1703533.363518,2024766.0936
1/4/2019 16:00,1904981.913,1710871.164542,2022585.247393
1/4/2019 16:15,1923296.448,1794540.38604,2053793.671968
1/4/2019 16:30,1921937.236,1796846.822751,2041790.64133
1/4/2019 16:45,1955490.829,1825382.231761,2073254.411373
1/4/2019 17:00,1993716.046,1909283.955716,2114432.05493
